customer_id,age,tenure_months,monthly_spend,usage_score,clv,am_quality,treatment,customer_retained,true_effect
CUST_000000,46.0,1.0,83.88,74.49,71.69,1.2169,1,1,0.5
CUST_000001,38.3,11.6,299.73,51.6,2799.6,-0.4955,0,0,0.0
CUST_000002,47.8,58.9,24.83,22.86,1457.24,-0.6088,2,1,1.2
CUST_000003,58.3,70.8,105.21,5.85,7741.24,-0.4351,0,0,0.0
CUST_000004,37.2,1.3,42.01,27.91,66.43,-0.6317,2,1,1.2
CUST_000005,37.2,3.2,126.26,21.31,426.8,-0.5069,1,0,0.8
CUST_000006,59.0,1.0,20.0,26.84,19.22,2.1305,2,1,1.2
CUST_000007,49.2,48.7,117.11,64.04,6110.76,-0.2187,2,1,1.7
CUST_000008,34.4,1.8,424.59,40.35,764.63,-1.36,2,0,1.2
CUST_000009,46.5,2.7,58.17,50.98,188.19,1.1032,1,1,0.5
CUST_000010,34.4,6.2,26.95,59.72,188.77,1.0228,1,0,0.5
CUST_000011,34.4,59.8,152.61,37.4,9704.9,1.111,2,0,1.7
CUST_000012,42.9,28.0,69.9,26.41,2022.49,-0.702,2,0,1.7
CUST_000013,18.0,23.0,191.49,27.66,4004.75,-1.4229,0,0,0.0
CUST_000014,19.3,36.9,216.88,30.86,8269.73,0.2478,0,0,0.0
CUST_000015,33.3,28.4,205.49,28.68,5780.14,2.4652,2,0,1.7
CUST_000016,27.8,32.9,88.19,20.95,3348.28,0.7049,0,0,0.0
CUST_000017,43.8,1.8,387.27,77.75,814.33,0.8838,2,1,1.2
CUST_000018,29.1,21.4,169.97,79.64,3821.94,1.3467,2,1,1.7
CUST_000019,23.1,33.6,50.46,17.13,1360.16,0.2399,0,0,0.0
CUST_000020,57.6,20.0,53.51,23.22,1094.02,0.7603,0,0,0.0
CUST_000021,37.3,1.0,255.57,21.67,218.87,0.3497,2,0,1.2
CUST_000022,40.8,5.7,153.72,18.86,833.93,-0.3484,0,0,0.0
CUST_000023,22.9,79.1,50.55,35.33,3532.08,0.2911,0,0,0.0
CUST_000024,33.5,29.3,67.63,29.19,1850.41,0.1317,0,0,0.0
CUST_000025,41.3,28.0,85.53,22.45,2279.7,-2.1748,1,0,0.8
CUST_000026,26.2,25.9,173.51,38.59,4568.04,0.1138,0,0,0.0
CUST_000027,44.5,3.3,75.31,42.92,289.02,0.466,0,1,0.0
CUST_000028,32.8,1.0,257.7,50.95,279.28,-0.2652,1,0,0.5
CUST_000029,36.5,13.9,120.25,61.04,1383.64,0.1084,2,1,1.2
CUST_000030,32.8,14.1,267.87,12.65,4431.55,0.9822,2,1,1.7
CUST_000031,62.2,40.1,35.97,29.22,1398.46,0.7373,0,0,0.0
CUST_000032,39.8,4.8,298.93,62.18,1450.59,-0.6127,0,1,0.0
CUST_000033,27.3,7.7,229.48,28.17,2102.34,-0.9304,0,0,0.0
CUST_000034,49.9,2.0,95.58,7.99,165.39,2.0285,0,1,0.0
CUST_000035,25.3,12.3,59.14,64.3,861.36,-0.3276,2,1,1.2
CUST_000036,42.5,7.1,255.16,56.94,1682.89,1.0052,2,1,1.2
CUST_000037,18.0,7.3,62.38,68.37,491.63,-1.2249,0,1,0.0
CUST_000038,24.1,7.0,89.63,68.55,577.67,0.5867,2,1,1.2
CUST_000039,42.4,6.3,134.86,79.5,794.31,-0.116,1,1,0.5
CUST_000040,48.9,9.2,36.29,49.56,380.45,0.6218,0,0,0.0
CUST_000041,42.1,18.5,77.78,33.19,1471.24,0.5207,0,0,0.0
